item code,item label,item type,item status,text type,text content,text type,text content,media url,price currencyid,price quantity,price value,price tax rate,attribute code,attribute type,subproduct code,product list type,property value,property type,catalog code,catalog list type
job_csv_test,job csv test product,default,1,short,short description,long,"longdescription",path/to/image.jpg,EUR,1,20,20,import-test,size,,,1.5,package-weight,home,promotion
job_csv_test2,job csv test 2. product,select,1,short,"short selectiondescription",long,long selection description,path/to/image2.jpg,EUR,1,30,20,,,job_csv_test,default,1.5,package-weight,home,promotion
6105-1001,Aceite diferencial MOTUL,default,1,short,Aceite diferencial MOTUL,long,long selection description,products/217-aceite-diferencial-motul-hd-80w90-1l-mineral-1-sustitutos-3.jpg;products/217-aceite-diferencial-motul-hd-80w90-1l-mineral-1-sustitutos-4.jpg,MXN,1,217,217,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6102-1016,Aceite para motor a gasolina 2 tiempos MOTUL,default,1,short,Aceite para motor a gasolina 2 tiempos MOTUL,long,long selection description,products/225-aceite-para-motor-a-gasolina-2-tiempos-motul-510-powerlube-1l-technosynthese-1-sustitutos-3.jpg;products/225-aceite-para-motor-a-gasolina-2-tiempos-motul-510-powerlube-1l-technosynthese-1-sustitutos-4.jpg,MXN,1,216,216,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6102-1013,Aceite para motor a gasolina 2 tiempos MOTUL ,default,1,short,Aceite para motor a gasolina 2 tiempos MOTUL ,long,long selection description,products/224-aceite-para-motor-a-gasolina-2-tiempos-motul-710-1l-sintetico-1-sustitutos-3.jpg;products/224-aceite-para-motor-a-gasolina-2-tiempos-motul-710-1l-sintetico-1-sustitutos-4.jpg,MXN,1,277,277,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6102-1019,Aceite para motor a gasolina 2 tiempos MOTUL,default,1,short,Aceite para motor a gasolina 2 tiempos MOTUL,long,long selection description,products/232-aceite-para-motor-a-gasolina-2-tiempos-motul-800-racing-factory-line-1l-sintetico-doble-ester-1-sustitutos-3.jpg;products/232-aceite-para-motor-a-gasolina-2-tiempos-motul-800-racing-factory-line-1l-sintetico-doble-ester-1-sustitutos-4.jpg,MXN,1,615,615,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6102-1015,Aceite para motor a gasolina 2 tiempos MOTUL ,default,1,short,Aceite para motor a gasolina 2 tiempos MOTUL ,long,long selection description,products/234-aceite-para-motor-a-gasolina-2-tiempos-motul-800-factory-line-off-road-1l-sintetico-3.jpg;products/234-aceite-para-motor-a-gasolina-2-tiempos-motul-800-factory-line-off-road-1l-sintetico-4.jpg,MXN,1,525,525,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6102-1023,Aceite para motor a gasolina 2 tiempos MOTUL kart,default,1,short,Aceite para motor a gasolina 2 tiempos MOTUL kart,long,long selection description,products/242-aceite-para-motor-a-gasolina-2-tiempos-motul-kart-grand-prix-1l-sintetico-3.jpg;products/242-aceite-para-motor-a-gasolina-2-tiempos-motul-kart-grand-prix-1l-sintetico-4.jpg,MXN,1,466,466,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6102-1011,Aceite para motor a gasolina 2 tiempos MOTUL scooter ,default,1,short,Aceite para motor a gasolina 2 tiempos MOTUL scooter ,long,long selection description,products/233-aceite-para-motor-a-gasolina-2-tiempos-motul-scooter-expert-1l-technosynthese-1-sustitutos-3.jpg;products/233-aceite-para-motor-a-gasolina-2-tiempos-motul-scooter-expert-1l-technosynthese-1-sustitutos-4.jpg,MXN,1,198,198,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6104-1012,Aceite para motor a gasolina 4 tiempos MOTUL,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL,long,long selection description,products/229-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-4l-technosynthese-2-sustitutos-3.jpg;products/229-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-4l-technosynthese-2-sustitutos-4.jpg,MXN,1,699,699,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6104-1010,Aceite para motor a gasolina 4 tiempos MOTUL,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL,long,long selection description,products/231-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-1l-technosynthese-2-sustitutos-3.jpg;products/231-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-1l-technosynthese-2-sustitutos-4.jpg,MXN,1,206,206,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6104-1078,Aceite para motor a gasolina 4 tiempos MOTUL ,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL ,long,long selection description,products/218-aceite-para-motor-a-gasolina-4-tiempos-motul-7100-10w30-1l-sintetico-3.jpg;products/218-aceite-para-motor-a-gasolina-4-tiempos-motul-7100-10w30-1l-sintetico-4.jpg,MXN,1,315,315,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
6104-1007,Aceite para motor a gasolina 4 tiempos MOTUL,default,1,short,Aceite para motor a gasolina 4 tiempos MOTUL,long,long selection description,products/220-aceite-para-motor-a-gasolina-4-tiempos-motul-7100-10w40-1l-sintetico-1-sustitutos-3.jpg;products/220-aceite-para-motor-a-gasolina-4-tiempos-motul-7100-10w40-1l-sintetico-1-sustitutos-4.jpg,MXN,1,285,285,import-test,size,job_csv_test,default,1.5,package-weight,home,promotion
