id,status,categories,manufacturer_id,supplier_id,code,sku,gtin,taric,name,short_description,description,keywords,attributes,head_title,meta_description,images,purchase_price,purchase_price_currency_code,price,tax_class_id,quantity,quantity_unit_id,weight,weight_class,delivery_status_id,sold_out_status_id,language_code,currency_code,date_valid_from,date_valid_to
217,1,"13,14,15,16,18,22,58,81,114,137,159,183,215,295,320",11,0,6105-1001,,,,Aceite diferencial MOTUL,Aceite diferencial MOTUL,"<h4>ACEITE DIFERENCIAL MOTUL HD 80W90 1L MINERAL (1 Sustitutos)</h4><p>Lubricante para cajas de velocidades y puentes
</p><p>Extrema presión
</p><h4>APLICACIONES
</h4><p>Todo tipo de transmisiones mecánicas, cajas de velocidades sincronizadas o no, caja/puente, caja de transferencias o puentes hipoides sin deslizamiento limitado funcionando con choques, fuertes cargas y velocidades de rotación bajas o cargas moderadas y velocidades de rotación elevadas.</p><h4>PRESTACIONES</h4><p>API GL4 y GL5 - MIL-L-2105D</p><p>Lubricante ""extrema presión"" para proteger contra el desgaste.
</p><p>Grado de viscosidad 90 después del test de cizallamiento KRL 20 horas exigido por la norma SAE J306.
</p><p>Poder lubricante muy elevado para disminuir las fricciones.
</p><p>Grade 90 en caliente que garantiza una película lubricante en condiciones de fuertes cargas y/o altas temperaturas y permite una reducción de ruidos en funcionamiento.
</p><p>Compatible con todo tipo de juntas y materiales utilizados en las cajas de velocidades.
</p><p>Anti-corrosión, Anti-espuma.
</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p>Intervalos de mantenimiento: Según preconización de los constructores y adaptado a su propio uso.
</p>",,"Modelo:HD 80W-90
Aplicación:TRANSMISIONES
Tipo de aceite: MINERAL
Viscosidad: 80W-90
Certificacion:API GL-4/GL-5
Cantidad:1 LITRO",,,products/217-aceite-diferencial-motul-hd-80w90-1l-mineral-1-sustitutos-3.jpg;products/217-aceite-diferencial-motul-hd-80w90-1l-mineral-1-sustitutos-4.jpg,0.0000,,217,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
225,1,"13,14,15,16,18,22,58,81,114,137,159,183,215,295,320",11,0,6102-1016,,,,Aceite para motor a gasolina 2 tiempos MOTUL,ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL ,"<h4>ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL 510 POWERLUBE 1L TECHNOSYNTHESE (1 Sustitutos)</h4><p>Lubricante para Motores 2 Tiempos
</p><p>Engrase por separado o pre-mix
</p><p>Technosynthese® - Anti-humo
</p><h4>APLICACIONES
</h4><p>Todas las motos, trails, motos todo terrenos, enduro, ciclomotores… equipados con motores 2 tiempos de altas prestaciones, que trabajen en regímenes del motor elevados</p><p>Para ser utilizado en sistemas de engrase por separado o en pre-mix. Recomendado para todo tipo de carburantes con o sin plomo.</p><p>Compatible con los catalizadores.
</p><p>Otras aplicaciones: Scooters, Quads…
</p><h4>PRESTACIONES
</h4><p>API TC - ISO-L-EGD
</p><p>JASO FD con N° 033MOT065
</p><p>Lubricante Technosynthese®, reforzado por una base sintética para proteger contra el desgaste. La base sintética específica de alto poder de combustión disminuye el humo y la formación de depósitos.
</p><p>La norma japonesa JASO consiste en pasar 4 test de banco motor, para medir las prestaciones del lubricante, detergente, propiedades anti-humo y anti-depósitos del aceite. La especificación FD es el nivel más elevado de la norma, las propiedades del motor son reforzadas en comparación con la JASO FC.
</p><p>Mezcla inmediata y muy estable con los carburantes.
</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p>Mezcla: 2% a 4% (50:1 a 25:1) según las preconizaciones de los constructores, y adaptado a su propia utilización.</p>",,"Modelo: 510 2T
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite: TECHNOSYNTHESE
Aceite para: 2 TIEMPOS
Certificacion: API TC/JASO FD 033MOT065
Cantidad:1 LITRO",,,products/225-aceite-para-motor-a-gasolina-2-tiempos-motul-510-powerlube-1l-technosynthese-1-sustitutos-3.jpg;products/225-aceite-para-motor-a-gasolina-2-tiempos-motul-510-powerlube-1l-technosynthese-1-sustitutos-4.jpg,0.0000,,216,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
224,1,"13,14,15,16,18,22,58,81,114,137,159,183,215,295,320",11,0,6102-1013,,,,Aceite para motor a gasolina 2 tiempos MOTUL ,ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL,"<h4>ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL 710 1L SINTETICO (1 Sustitutos)</h4><p>Lubricante altas prestaciones Motores 2 Tiempos
</p><p>Engrase por separado o Pre-mix
</p><p>100% Sintético – Ester – Anti-humo
</p><h4>APLICACIONES
</h4><p>Todas las motos, trails, motos todo terrenos, enduro, ciclomotores… equipados con motores 2 tiempos de altas prestaciones, que trabajen en regímenes del motor elevados.
</p><p>Para ser utilizado en sistemas de engrase por separado o en pre-mix. Recomendado para todo tipo de carburantes con o sin plomo.
</p><p>Compatible con los catalizadores.
</p><p>Scooters, Quads…
</p><h4>PRESTACIONES
</h4><p>NORMAS API TC – JASO FD - ISO-L-EGD
</p><p>ESPECIFICACIONES JASO FD con N° 033MOT064
</p><p>Lubricante 100% sintético, Tecnología Ester, estudiado y diseñado para los motores de altas prestaciones que giren en regímenes de motor elevados, perfecta película lubricante para proteger
 contra el desgaste. Aumento de potencia del motor gracias a la reducción de las fricciones.&nbsp;</p><p>La norma japonesa JASO consiste en pasar 4 test de banco motor, para medir las prestaciones del lubricante, detergente, propiedades anti-humo y anti-depósitos del aceite. La especificación FD es el nivel más elevado de la norma, las propiedades del motor son reforzadas en comparación con la JASO
 FD.&nbsp;</p><p>Formula con bases sintéticas específicas de alto poder de combustión para disminuir la formación de
 depósitos.&nbsp;</p><p>Mezcla inmediata y muy estable con los combustibles.
</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p>Mezcla: 2% a 4% (50:1 a 25:1) según las preconizaciones de los constructores y adaptado a su propia
 utilización.</p>",,"Modelo: 710 2T
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite:100 % SINTÉTICO
Aceite para:710 4T & 710 2T 
Viscosidad: 
Certificacion:API TC / JASO FD 033MOT064
Cantidad: 1 LITRO",,,products/224-aceite-para-motor-a-gasolina-2-tiempos-motul-710-1l-sintetico-1-sustitutos-3.jpg;products/224-aceite-para-motor-a-gasolina-2-tiempos-motul-710-1l-sintetico-1-sustitutos-4.jpg,0.0000,,277,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
232,1,"13,14,15,16,18,22,58,81,114,137,159,183,215,295,320",11,0,6102-1019,,,,Aceite para motor a gasolina 2 tiempos MOTUL,Aceite para motor a gasolina 2 tiempos MOTUL,"<h4>&nbsp;ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL 800 RACING FACTORY LINE 1L SINTETICO DOBLE ESTER (1 Sustitutos)</h4><h4>Lubricante para Motos Grand Prix
</h4><p>Motores 2 Tiempos engrase por mezcla manual
</p><h4>APLICACIONES
</h4><p>100% Sintético – TecnologíaE
</p><p>Formula diseñada para los equipos de Gran Premio de velocidad. Utilizado con carburantes convencionales, sin plomo, y hasta 124 octanos.
</p><p>Todo tipo de Motores 2 Tiempos de competición que funcionen en regímenes de motor elevados y fuertes cargas, engrase por mezcla manual: Motos de competición o motos de usuarios con uso en circuito.
</p><p>Para las motos de cross, utilizar MOTUL 800 2T OFF ROAD. Para sistemas de engrase por separado,utilizar MOTUL 710 2T.
</p><h4>PRESTACIONES
</h4><p>Por encima de todas las normas.
</p><h4>TECNOLOGÍA
E</h4><p>MOTUL ha desarrollado a lo largo de varias décadas lubricantes de altas prestaciones de base Ester.
</p><p>Estos Esteres asociados a una selección optima de otros aceites de base sintética de altas prestaciones y acoplados a un paquete de aditivos novedoso funcionan con perfecta sinergia formando la tecnología E.
</p><p>Esta tecnología permite extraer las máximas prestaciones al motor sin comprometer su fiabilidad y el desgaste.
</p><p>Formula mejorada: propiedades des emulsionantes reforzadas: impide la obstrucción de las válvulas de mariposas de los carburadores en tiempo de lluvia y asegura una lubricación perfecta misma en presencia de vapor de agua.
</p><p>Poder lubricante extremadamente elevado para disminuir las fricciones y el desgaste. Motores y válvulas perfectamente engrasados en todo tipo de condiciones de uso. Impide el engomado de los segmentos y la obstrucción de las válvulas de escape. Producto colorado de rojo: permite su detección
 visual.&nbsp;</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p>GRAN PREMIOS VELOCIDAD: 3% a 4% (33:1 a 25:1).
</p><p>En condiciones severas, disminuir la dosis en 0.5%.
</p><p>Afinar según su utilización especifica.</p>",,"Modelo:800 2T FACTORY LINE ROAD RACING
Aplicación:COMPETICIÓN - FACTORY LINE, LUBRICANTES PARA MOTOR
Tipo de aceite: 100% SINTÉTICO
Aceite para:2T
Certificacion: API TC
Cantidad:1 LITRO ",,,products/232-aceite-para-motor-a-gasolina-2-tiempos-motul-800-racing-factory-line-1l-sintetico-doble-ester-1-sustitutos-3.jpg;products/232-aceite-para-motor-a-gasolina-2-tiempos-motul-800-racing-factory-line-1l-sintetico-doble-ester-1-sustitutos-4.jpg,0.0000,,615,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
234,1,"13,14,15,16,18,22,58,81,114,137,159,183,215,295,320",11,0,6102-1015,,,,Aceite para motor a gasolina 2 tiempos MOTUL ,ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL ,"<h4>ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL 800 FACTORY LINE OFF ROAD 1L SINTETICO
</h4><p>Lubricante Competición Motocross /MX<br></p><p>Motores 2 Tiempos mezcla manual
</p><p>100% Sintético - TecnologíaE
</p><h4>APLICACIONES
</h4><p>Formula diseñada para los equipos del Grand Prix en Moto-Cross.
</p><p>Utilizado con carburantes convencionales, sin plomo y hasta 124 Octanos.
</p><p>Todo los Motores 2 Tiempos de competición de altas prestaciones de mezcla manual: Motos de cross, Enduro, Trial, Quads, Jet Ski,...
</p><p>Para las motos de velocidad, utilizar MOTUL 800 2T ROAD RACING.
</p><p>Para las motos de engrase por separado utilizar MOTUL 710 2T.
</p><h4>PRESTACIONES
</h4><p>Por encima de todas las Normas
</p><h4>ESPECIFICACIONES&nbsp;</h4><p>Lubricante utilizado en Grand Prix Moto-Cross para los grandes equipos.
</p><h4>TECNOLOGÍA E</h4><p>MOTUL ha desarrollado a lo largo de varias décadas lubricantes de altas prestaciones de base Ester.
</p><p>Estos Esteres asociados a una selección optima de otros aceites de base sintética de altas prestaciones y acoplados a un paquete de aditivos novedoso funcionan con perfecta sinergia formando
 la tecnología E.&nbsp;</p><p>Esta tecnología permite extraer las máximas prestaciones al motor sin comprometer su fiabilidad y el desgaste.
</p><p>Formula mejorada: propiedades des emulsionantes reforzadas: impide la obstrucción de las válvulas de mariposas de los carburadores en tiempo de lluvia y asegura una lubricación perfecta misma en presencia de vapor de agua.
</p><p>Poder lubricante extremadamente elevado para disminuir las fricciones y el desgaste. Motores y válvulas perfectamente engrasados en todo tipo de condiciones de uso. Impide el engomado de los segmentos y la obstrucción de las válvulas de escape. Producto colorado de rojo: permite su detección
 visual.&nbsp;</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p><strong>Dosis de referencia</strong></p><p>GRAND PRIX MOTO CROSS: 2% (50:1).&nbsp;</p><p>En condiciones menos severas, disminuir la dosis en 0.5%.&nbsp;</p><p>Afinar según su utilización especifica.</p>",,"Modelo: 800 2T OFF ROAD
Aplicación:COMPETICIÓN - FACTORY LINE, LUBRICANTES PARA MOTOR
Tipo de aceite:100% SINTÉTICO
Aceite para: 2 TIEMPOS
Certificacion: API TC / ACIMA DAS NORMAS EXISTENTES
Cantidad:1 LITRO",,,products/234-aceite-para-motor-a-gasolina-2-tiempos-motul-800-factory-line-off-road-1l-sintetico-3.jpg;products/234-aceite-para-motor-a-gasolina-2-tiempos-motul-800-factory-line-off-road-1l-sintetico-4.jpg,0.0000,,525,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
242,1,"13,14,15,16,17,22,58,81,114,137,159,183,215,239,271",11,0,6102-1023,,,,Aceite para motor a gasolina 2 tiempos MOTUL kart,ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL ,"<h4>ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL KART GRAND PRIX 1L SINTETICO</h4><p>Lubricante especial Karting 23 000 rpm
</p><p>Motores Competición 2 Tiempos engrase por mezcla
</p><p>100% Sintético - Esteres
</p><h4>APLICACIONES
</h4><p>Formula especialmente diseñada para los Karts de competición.
</p><p>Miscible con todo tipo de carburantes.
</p><p>Recomendado para todo tipo de gasolinas con o sin plomo y biocarburantes.
</p><p>Motores 2 Tiempos de competición de elevadas revoluciones, engrase por mezcla:
</p><p>ROTAX, ATK, PARILLA, PCR, YAMAHA, Ital System, TM...
</p><h4>PRESTACIONES</h4><p>NORMAS API TC
</p><h4>HOMOLOGACIONES FIA - CIK
</h4><p>La base 100% Sintético - Esteres proporcionada un poder lubricante superior para disminuir las fricciones, y el
 desgaste.&nbsp;</p><p>Motores perfectamente lubricados incluso en condiciones extremas de utilización (23.000 rpm / elevada
 temperatura).&nbsp;</p><p>Impide el efecto engomado de los segmentos.
</p><p>Mantiene el motor limpio a diferencia de otros aceites de competición tradicionales.
</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p>Dosificación de referencia: 100 cc: 6%
</p><p>125 cc: 4%
</p><p>Afinar según vuestro propio uso y los consejos de vuestro preparador.</p>",,"Modelo:KART GRAND PRIX 2T
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite: 100% SINTÉTICO
Aceite para: 2 TIEMPOS
Certificacion:API TC
Cantidad:1 LITRO",,,products/242-aceite-para-motor-a-gasolina-2-tiempos-motul-kart-grand-prix-1l-sintetico-3.jpg;products/242-aceite-para-motor-a-gasolina-2-tiempos-motul-kart-grand-prix-1l-sintetico-4.jpg,0.0000,,466,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
233,1,"13,14,15,16,18,22,58,81,114,137,159,183,215,295,320",11,0,6102-1011,,,,Aceite para motor a gasolina 2 tiempos MOTUL scooter ,ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL SCOOTER ,"<h4>ACEITE PARA MOTOR A GASOLINA 2 TIEMPOS MOTUL SCOOTER EXPERT 1L TECHNOSYNTHESE (1 Sustitutos)</h4><p>Lubricante de Technosynthese®
</p><p>anti-humos para motores 2T de Scooters
</p><p>Engrase automático y Pre-mix
</p><h4>APLICACIONES
</h4><p>Lubricante de Technosynthese® especialmente desarrollado para los motores de 2T de Scooters urbanas.
</p><p>Es recomendable su uso en todos los sistemas de engrase automático y por mezcla.
</p><p>Compatible con todos los tipos de carburante con plomo y sin plomo.
</p><h4>PRESTACIONES
</h4><p>NORMAS API TC
</p><h4>HOMOLOGACIONES&nbsp;</h4><p>JASO FC Nº 033MOT047
</p><p>Esta excelente combinación de bases sintéticas y aditivos ha superado ampliamente los severos ensayos de la norma JASO FC: elevadas propiedades lubricantes, total limpieza del motor y tubos de escape, reducción total de humos.
</p><p>Su grado de viscosidad en frío ha sido adaptado para ofrecer la máxima exactitud de dosificación en todas las bombas de inyección automática.
</p><p>Mezcla manual, rápida y homogénea.
</p><p>Colorea la mezcla en verde.
</p>
<h4>CONSEJOS DE UTILIZACIÓN
</h4><p>Mezcla recomendada: 2% a 4% (50:1 a 25:1, 2½ a 5 Oz x Gal.) según preconización del constructor.</p>",,"Modelo: SCOOTER EXPERT 2T
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite: TECHNOSYNTHESE
Aceite para: 2 TIEMPOS
Certificacion: API TC / JASO FC - 033MOT047
Cantidad:1 LITRO",,,products/233-aceite-para-motor-a-gasolina-2-tiempos-motul-scooter-expert-1l-technosynthese-1-sustitutos-3.jpg;products/233-aceite-para-motor-a-gasolina-2-tiempos-motul-scooter-expert-1l-technosynthese-1-sustitutos-4.jpg,0.0000,,198,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
229,1,"13,14,15,16,22,58,81,114,137,159,183,215",11,0,6104-1012,,,,Aceite para motor a gasolina 4 tiempos MOTUL,Aceite para motor a gasolina 4 tiempos MOTUL,"<h4>ACEITE PARA MOTOR A GASOLINA 4 TIEMPOS MOTUL 5100 15W50 4L TECHNOSYNTHESE (2 Sustitutos)</h4><p>Lubricante Motos Altas Prestaciones
</p><h4>Technosynthese® - Ester
</h4><p>Motos ruteras, trails, motos todo terreno, enduro, trial… equipos de motores 4 tiempos con cajas de velocidades integradas o no y embrague bañado en aceite o en seco, motores diseñados para utilizar lubricantes de baja viscosidad, que responda a las normas anti-contaminantes Euro 2 o Euro 3, equipadas con sistemas de pos tratamiento de gases de escape: catalizadores, inyección de aire en el escape… Recomendado particularmente para BMW, DUCATI, que recomiende un aceite de grado SAE
</p><p>15W-50 para algunos de sus modelos.
</p><p>Motos sin post catalizadores, Scooters, quads,
 ciclomotores…&nbsp;</p><h4>PRESTACIONES
</h4><p>NORMAS API SM / SL / SJ / SH / SG
</p><p>ESPECIFICACIONES JASO MA2 con N° M033MOT114
</p><h4>PROTECCIÓN</h4><p>Lubricante Technosynthese® reforzado con una base Ester para garantizar las propiedades anti-desgaste y asegurar la longevidad de los engranajes de la caja de cambios.
</p><p>Mejora de la resistencia de la película lubricante a altas temperaturas para una mayor protección del motor. Contenido en Fosforo y Azufre optimizado (JASO MA2 &lt; 1200 ppm) para asegurar el funcionamiento y la durabilidad de los catalizadores en el sistema de escape.
</p><p>Excelente protección de la caja de velocidades gracias a una tecnología innovadora de aditivos antidesgaste:
</p><p>Resultados del Test FZG = FLS 14: El test FZG (Forschungsstelle für Zahnrader und Getriebebau) evalúa la capacidad de lubricación u protección anti-desgaste del fluido entre dos piñones sometidos a un acople variable.
</p><h4>CONFORT
</h4><p>JASO crea su propia norma -JASO T903- para los motores 4T de motos que comporta tres niveles: JASO MA, MA1, MA2.</p><p>La especificación JASO MA2 ofrece el mayor nivel de fricción para garantizar una perfecta fricción del embrague en las tres fases de funcionamiento: En el arranque, la aceleración y velocidad máxima.
</p><h4>CONSEJOS DE UTLIZACIÓN
</h4><p>Intervalos de mantenimiento según preconizaciones del constructor y adaptado a su propia utilización.
</p><p>Puede ser mezclado con aceites sintéticos o minerales.</p>",,"Modelo: 5100 4T 15W-50
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite: TECHNOSYNTHESE
Aceite para:4T
Viscosidad: 15W-50
Certificacion: API SG/SH/SJ/SL/SM / JASO MA2 M033MOT114
Cantidad:4 LITRO",,,products/229-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-4l-technosynthese-2-sustitutos-3.jpg;products/229-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-4l-technosynthese-2-sustitutos-4.jpg,0.0000,,699,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
231,1,"13,14,15,16,22,58,81,114,137,159,183,215",11,0,6104-1010,,,,Aceite para motor a gasolina 4 tiempos MOTUL,ACEITE PARA MOTOR A GASOLINA 4 TIEMPOS MOTUL 5100 15W50 1L TECHNOSYNTHESE (2 Sustitutos),"<h4>ACEITE PARA MOTOR A GASOLINA 4 TIEMPOS MOTUL 5100 15W50 1L TECHNOSYNTHESE (2 Sustitutos)</h4><p>Lubricante Motos Altas Prestaciones
</p><h4>Technosynthese® - Ester
</h4><p>Motos ruteras, trails, motos todo terreno, enduro, trial… equipos de motores 4 tiempos con cajas de
 velocidades integradas o no y embrague bañado en aceite o en seco, motores diseñados para utilizar lubricantes de baja viscosidad, que responda a las normas anti-contaminantes Euro 2 o Euro 3, &nbsp;equipadas con sistemas de pos tratamiento de gases de escape: catalizadores, inyección de aire en el escape.</p><p>Recomendado particularmente para BMW, DUCATI, que recomiende un aceite de grado SAE
</p><p>15W-50 para algunos de sus modelos.
</p><p>Motos sin post catalizadores, Scooters, quads,
 ciclomotores…&nbsp;</p><h4>PRESTACIONES
</h4><p>NORMAS API SM / SL / SJ / SH / SG
</p><p>ESPECIFICACIONES JASO MA2 con N° M033MOT114
</p><h4>PROTECCIÓN</h4><p>Lubricante Technosynthese® reforzado con una base Ester para garantizar las propiedades anti-desgaste y
 asegurar la longevidad de los engranajes de la caja de cambios.&nbsp;</p><p>Mejora de la resistencia de la película lubricante a altas temperaturas para una mayor protección del
 motor. Contenido en Fosforo y Azufre optimizado (JASO MA2 &lt; 1200 ppm) para asegurar el funcionamiento y la durabilidad de los catalizadores en el sistema de escape.&nbsp;</p><p>Excelente protección de la caja de velocidades gracias a una tecnología innovadora de aditivos antidesgaste</p><p>Resultados del Test FZG = FLS 14: El test FZG (Forschungsstelle für Zahnrader und Getriebebau) evalúa la capacidad de lubricación u protección anti-desgaste del fluido entre dos piñones
 sometidos a un acople variable.&nbsp;</p><h4>CONFORT
</h4><p>JASO crea su propia norma -JASO T903- para los motores 4T de motos que comporta tres niveles: JASO MA, MA1, MA2.</p><p>La especificación JASO MA2 ofrece el mayor nivel de fricción para garantizar una perfecta fricción del
 embrague en las tres fases de funcionamiento, en el arranque, la aceleración y velocidad máxima.&nbsp;</p><h4>CONSEJOS DE UTLIZACIÓN
</h4><p>Intervalos de mantenimiento según preconizaciones del constructor y adaptado a su propia utilización.
</p><p>Puede ser mezclado con aceites sintéticos o minerales.</p>",,"Modelo: 5100 4T 15W-50
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite: TECHNOSYNTHESE
Aceite para: 4 TIEMPOS
Viscosidad: 15W-50
Certificacion: API SG/SH/SJ/SL/SM / JASO MA2 M033MOT114
Cantidad:1 LITRO",,,products/231-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-1l-technosynthese-2-sustitutos-3.jpg;products/231-aceite-para-motor-a-gasolina-4-tiempos-motul-5100-15w50-1l-technosynthese-2-sustitutos-4.jpg,0.0000,,206,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
218,1,"13,14,15,16,22,58,81,114,137,159,183,215",11,0,6104-1078,,,,Aceite para motor a gasolina 4 tiempos MOTUL ,Aceite para motor a gasolina 4 tiempos MOTUL,"<h4>ACEITE PARA MOTOR A GASOLINA 4 TIEMPOS MOTUL 7100 10W30 1L SINTETICO</h4><p>Lubricante Motos Altas Prestaciones
</p><p>100% Sintético - Ester
</p><h4>APLICACIONES
</h4><p>Motos ruteras, trails, motos todo terreno, enduro, trial… equipos de motores 4 tiempos con cajas de velocidades integradas o no y embrague bañado en aceite o en seco, motores diseñados para utilizar lubricantes de baja viscosidad, que responda a las normas anti-contaminantes Euro 2 o Euro 3, equipadas con sistemas de pos tratamiento de gases de escape: catalizadores, inyección de aire en el escape… Recomendado particularmente para HONDA, YAMAHA que recomienden aceite de grado SAE 10W-30 para algunos de sus modelos.
</p><p>Motos sin post catalizadores, Scooters, quads, ciclomotores…</p><h4>PRESTACIONES
</h4><p>NORMAS API SN / SM / SL / SJ / SH / SG
</p><p>ESPECIFICACIONES JASO MA2 con N° M033MOT116
</p><h4>Protección&nbsp;Tecnología Ester</h4><p>Ester con un bajo coeficiente de tracción para reducir las pérdidas mecánicas del interior del motor y mejorar el rendimiento.
</p><p>Sinergia del Ester con los aditivos anti-desgaste y resistencia al cizallamiento para asegurar la longevidad de los engranajes de la caja de velocidades.
</p><p>Lubricante 100% sintético para mejorar la resistencia de la película lubricante a altas temperaturas y altos regímenes de motor.
</p><p>Reducido en Fosforo y Azufre optimizado (JASO MA2 &lt; 1200 ppm) para asegurar el funcionamiento y la durabilidad de los catalizadores del escape.
</p><p>Protección de la caja de velocidades gracias a una tecnología innovadora de aditivos anti-desgaste:
</p><p>Resultados del Test FZG = FLS&gt;14: El test FZG (Forschungsstelle für Zahnrader und Getriebebau) evalúa la capacidad de lubricación u protección anti-desgaste del fluido entre dos piñones sometidos a un acople variable. El lubricante se clasifica en función de su “nivel de rotura bajo carga” llamado FLS
</p><p>(Fallo en fase de carga) de FLS 1 (resultado muy malo) hasta FLS 14 (Resultado excepcional).
</p><h4>CONFORT
</h4><p>JASO crea su propia norma -JASO T903- para los motores 4T de motos que comporta tres niveles: JASO MA, MA1, MA2.</p><p>La especificación JASO MA2 ofrece el mayor nivel de fricción para garantizar una perfecta fricción del embrague en las tres fases de funcionamiento: En el arranque, la aceleración y velocidad máxima.</p><h4>CONSEJOS DE UTILIZACIÓN
</h4><p>Intervalos de mantenimiento según preconizaciones del constructor y adaptado a su propia utilización.
</p><p>Puede ser mezclado con aceites sintéticos o minerales.
</p>",,"Modelo: 7100 4T 10W-30
Aplicación:LUBRICANTES PARA MOTOR
Tipo de aceite: 100% SINTÉTICO
Aceite para:4T
Viscosidad: 10W-30
Certificacion:API SG/SH/SJ/SL/SM/SN / JASO MA2 M033MOT116
Cantidad:1 LITRO",,,products/218-aceite-para-motor-a-gasolina-4-tiempos-motul-7100-10w30-1l-sintetico-3.jpg;products/218-aceite-para-motor-a-gasolina-4-tiempos-motul-7100-10w30-1l-sintetico-4.jpg,0.0000,,315,0,100.0000,1,0.0000,kg,1,0,es,MXN,0000-00-00,0000-00-00
